封面链接,收费情况,追番人数,播放状态,番剧名,番剧链接
http://i0.hdslb.com/bfs/bangumi/ad4dc7bf7bef59255536e54fe818985b0e270d14.jpg,,224.6万追番,全12话,约会大作战,https://www.bilibili.com/bangumi/play/ss4188
http://i0.hdslb.com/bfs/bangumi/image/4fed6a1e2e9aae0f171c904c36c23384586e8d90.png,,223.9万追番,全1话,秒速五厘米,https://www.bilibili.com/bangumi/play/ss2688?theme=movie
http://i0.hdslb.com/bfs/bangumi/97007f464a9511abdbf8bf938c01dcdbaab151e0.jpg,会员专享,222.5万追番,全12话,女高中生的虚度日常,https://www.bilibili.com/bangumi/play/ss28016
http://i0.hdslb.com/bfs/bangumi/image/db92d4a50936147f0d3c235b9af880e6dc3f5bad.png,会员专享,222.1万追番,全26话,日常,https://www.bilibili.com/bangumi/play/ss844
http://i0.hdslb.com/bfs/bangumi/b7de3941ff421c3942e8b73649318773e029a5d6.png,会员专享,220.8万追番,全24话,CAROLE & TUESDAY,https://www.bilibili.com/bangumi/play/ss26875
http://i0.hdslb.com/bfs/bangumi/4c7324327dd9ae035007c3e9bc40cd2ce08635b1.jpg,会员专享,219.8万追番,全12话,擅长捉弄的高木同学 第二季,https://www.bilibili.com/bangumi/play/ss28006
http://i0.hdslb.com/bfs/bangumi/b75c55d209d156c8631f5ceb21e5c52c834dbb60.jpg,,219.4万追番,全1话,Fate/Grand Order ‐First Order‐,https://www.bilibili.com/bangumi/play/ss5747
http://i0.hdslb.com/bfs/bangumi/2b1aa93137e60ffc61d2376b9aba49def796149b.jpg,,217万追番,全12话,元气少女缘结神◎,https://www.bilibili.com/bangumi/play/ss1523
http://i0.hdslb.com/bfs/bangumi/1a017ba38809a4939bae1ef65cd2815832fc3a80.jpg,会员专享,216.5万追番,全13话,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,https://www.bilibili.com/bangumi/play/ss26363
http://i0.hdslb.com/bfs/bangumi/6b4ba7bd59be1f9de225294d18ca5e6819185c06.jpg,,216.3万追番,全13话,食戟之灵 贰之皿,https://www.bilibili.com/bangumi/play/ss5017
http://i0.hdslb.com/bfs/bangumi/2a172a77601a23cce4119174f79e04a812604317.png,会员专享,215.1万追番,全23话,入间同学入魔了,https://www.bilibili.com/bangumi/play/ss28638
http://i0.hdslb.com/bfs/bangumi/22a01c03926869ab31e7b158ffe15e783930da71.jpg,,214.4万追番,全12话,落第骑士英雄谭,https://www.bilibili.com/bangumi/play/ss2743
http://i0.hdslb.com/bfs/bangumi/6a04c87e990ab74cd8d555ef45a863de0993b161.png,会员专享,213.9万追番,全39话,JOJO的奇妙冒险 不灭钻石,https://www.bilibili.com/bangumi/play/ss5398
http://i0.hdslb.com/bfs/bangumi/4f3302a21bc658addbf9220e20ae71e18474956d.jpg,会员专享,213.7万追番,全24话,炎炎消防队,https://www.bilibili.com/bangumi/play/ss27959
http://i0.hdslb.com/bfs/bangumi/image/977d915210fda50930ca824bd0711a11dda945ab.png,会员专享,213.6万追番,全12话,理科生坠入情网，故尝试证明。,https://www.bilibili.com/bangumi/play/ss29110
http://i0.hdslb.com/bfs/bangumi/88775e3bd8fa1dc147b5e1686c604162cf06ae8b.jpg,会员专享,212.4万追番,全13话,野良神 ARAGOTO,https://www.bilibili.com/bangumi/play/ss2732
http://i0.hdslb.com/bfs/bangumi/5e32e992cbb666d42b931a1ab8e3752f9d490b93.jpg,会员专享,212.4万追番,全24话,齐木楠雄的灾难 第二季,https://www.bilibili.com/bangumi/play/ss21469
http://i0.hdslb.com/bfs/bangumi/31dea885d14e5dcb4e00f96e8c245f25ee452521.png,会员专享,212.3万追番,全24话,诸神的逆鳞,https://www.bilibili.com/bangumi/play/ss28598
http://i0.hdslb.com/bfs/bangumi/144910805f172d16c5f544f43939a05d8ca20576.jpg,,211.9万追番,全25话,龙与虎,https://www.bilibili.com/bangumi/play/ss1672
http://i0.hdslb.com/bfs/bangumi/image/090d4aa97754d1d80206e461eb633b28b9deed07.jpg,限时免费,211.6万追番,全24话,某科学的超电磁炮S,https://www.bilibili.com/bangumi/play/ss427
